platform,post_author_id,post_author_name_pi,post_comment_count,post_date,post_datetime,post_gather_id,post_id,post_like_count,post_link_pi,post_share_count,post_text_pi,comment_author_id,comment_author_name_pi,comment_date,comment_datetime,comment_gather_id,comment_id,comment_like_count,comment_link_pi,comment_parent_post_id,comment_replied_to_id,comment_text_pi,tiktok_post_plays,x_comment_is_quote,x_comment_is_reply,country,gather_topic,content_topic,primary_topic,phoenix_processed_at,phoenix_job_run_id,prob_afxumo,prob_not_afxumo,prob_toxicity,prob_severe_toxicity,prob_insult,prob_identity_attack,prob_threat,prob_sexually_explicit,prob_flirtation,topic_COUNTER_VE_LABELS,topic_HS_ANTI_FOREIGN,topic_HS_CASTE_RACISM,topic_HS_CLAN_HIERARCHY,topic_HS_CLAN_TARGETING,topic_HS_DEHUMANISATION_TARGETING,topic_HS_DEHUMANISE_MEDIA_TRUST,topic_HS_FACTIONAL_ATTACKS_AND_BETRAYAL,topic_HS_GBOV_GENDERED,topic_PEACE_CALLS_FOR_PEACE,topic_PEACE_INDIGENOUS_MECHANISMS,topic_PEACE_MEDIA_LITERACY_COUNTER_RUMOUR,topic_PEACE_RECONCILIATION_FORGIVENESS,topic_PEACE_TRADITIONAL_MEDIATION,topic_PEACE_UNITY_HEALING,topic_PEACE_WOMEN_VICTIM_SURVIVOR_VOICES,topic_RM_ATROCITY_PLANNING_RUMOURS,topic_VE_ATROCITY_AERIAL_AND_ATTACKS,topic_VE_CODED_YOUTH_REFERENCES,topic_VE_MILITIA_MOBILISATION,topic_VE_OPERATIONAL_ESCALATION,topic_VE_RECRUITMENT_COERCION,topic_VE_RELIGIOUS_JUSTIFICATION,topic_VE_SELF_REFERENCE_TERMS,topic_VE_TAKFIR_DEHUMANISE,topic_counter_disinfo_correction,topic_delegitimisation_anti_state,topic_explicit_violence_or_attack,topic_gendered_hate_or_humiliation,topic_grievance_victimhood,topic_interfaith_peace,topic_misdisinfo_rumour_conspiracy,topic_peace_cohesion_counter,topic_reconciliation_forgiveness,topic_religious_justification_takfir,topic_retaliation_mobilisation,topic_sectarian_or_religious_incitement,topic_sexualised_harm_or_humiliation,topic_unity_cohesion,topic_ve_attack_tactics,topic_ve_crossborder_diaspora,topic_ve_group_branding,topic_ve_propaganda_recruitment,topic_ve_recruitment_or_hijrah,topic_HS_MTN_CODED_METAPHOR_REVIEW,topic_RM_FINANCING_REQUESTS,topic_VE_ARABIC_PEACE_OR_WAR_TERMS_REVIEW,topic_VE_FINANCING_COORDINATION,topic_direct_threats_intimidation,topic_doxxing_or_personal_data_cues,topic_ve_bayah_affiliation,topic_HS_MILITARISATION_STEREOTYPE_MATHIANG_ANYOR,topic_VE_SECURITY_DELEGITIMATION_SPY_CLAIMS,topic_PEACE_HASHTAG_CAMPAIGNS,topic_nonviolence_deescalation,topic_expulsion_or_ethnic_cleansing_cues,topic_PEACE_ORG_REFERENCES,topic_PEACE_SYMBOLIC_SLOGANS,topic_HS_ETHNIC_SCAPEGOATING_JIENGE_CLUSTER,topic_HS_NATIONAL_IDENTITY_ANTI_ARAB_FRAMING,topic_HS_REGIONALISM_KOKORA,topic_HS_RETURN_DIASPORA_STIGMA,topic_coded_slurs_ethnic,topic_hate_slurs_or_coded,topic_identity_incitement_dehumanisation,EA_HS_Normal,EA_HS_Abusive,EA_HS_Hate,EA_HS_pred,EA_HS_conf,Polarization_Kenya_not_polarization,Polarization_Kenya_polarization,Afxumo_Somali_not_afxumo,Afxumo_Somali_afxumo,HateSpeech_Sudan_not_hate_speech,HateSpeech_Sudan_hate_speech,HateSpeech_Sudan_pred,HateSpeech_Sudan_conf,post_author_category,post_author_class,post_author_description_pi,post_author_followers_count,post_author_location,post_author_link_pi,post_class,comment_author_class,comment_class,facebook_video_views,x_post_retweeted_id,post_id_parent,post_text_pi_parent,post_author_id_parent,post_author_name_pi_parent,post_date_parent,post_datetime_parent,post_gather_id_parent,post_like_count_parent,post_share_count_parent,post_comment_count_parent,post_link_pi_parent,post_author_category_parent,post_author_class_parent,post_class_parent,platform_post,Polarization_Kenya_pred,Polarization_Kenya_conf,Afxumo_Somali_pred,Afxumo_Somali_conf
x,db00bc90-6345-5978-b5ca-e2192785809a,yasihade,0.0,2026-02-12,2026-02-12 10:19:33 UTC,1439.0,b0f34670-7bc5-8015-57aa-98282a3ba53b,0.0,https://x.com/yasihade/status/2021891922001072520,0.0,"Marka lagu leeyahay Somalidu waa low IQ, waa run. Intan  dhegeyso ama turjumaan u doono. 
Masar waligeed dagaal intay gashay kumay guulaysan.
Hadday xoog hayso biyaha lagama xidheen
Iyagii baa taagan maraykan iyo israel baa inoo dan ah. Falastiintu yeelkeed e! #xuubcaaro🤣🤣🤣 https://t.co/7AycMyS8eW",,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,very_high,medium,very_high,high,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994810223579408,0.0001176625519292,0.0004012986901216,Normal,0.9994810223579408,0.9997621178627014,0.0002378655917709,0.0643555223941803,0.935644507408142,0.0011080981930717826,0.9988918900489807,hate_speech,0.9988918900489807,,,,,,,very_high_prob_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997621178627014,afxumo,0.935644507408142
x,347432ff-758b-88b8-35ad-f91b6618b66c,DreamChildKoLo,3.0,2026-02-13,2026-02-13 10:25:28 UTC,1439.0,fd21679a-02ce-edfe-fab3-3d9b9dde1508,1.0,https://x.com/DreamChildKoLo/status/2022255795602178504,0.0,"1. Garret Morgan invented the traffic signal and the gas mask
2. Lewis Latimer invented the light bulb filament 
3. Marie Van Brittan invented home security.
4. Gladys West invented GPS
5. Sarah Boone invented the ironing board",,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99916410446167,0.0006575818406417,0.0001782575418474,Normal,0.99916410446167,0.9997416138648988,0.0002583465829957,0.9793701767921448,0.0206298828125,0.9986999034881592,0.0013000854523852468,not_hate_speech,0.9986999034881592,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997416138648988,not_afxumo,0.9793701767921448
x,5c263939-ff2a-3199-768a-55c1912f8182,AdalRepublic,2.0,2026-02-11,2026-02-11 21:21:29 UTC,1439.0,b331f00d-5386-419e-b0c8-77870570d797,1.0,https://x.com/AdalRepublic/status/2021696112092967378,0.0,DegDeg Dowlada Djibouti iyo Somalia oo Markale ku dhawaaqay dagaal iska diidayna Nabadii Wasiir Cabdilaahi kula heshiiyeen #Somaliland https://t.co/DkxwkNypmi,,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,very_high,medium,very_high,high,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997377991676332,0.0001006969687296,0.000161511983606,Normal,0.9997377991676332,0.9996222257614136,0.000377761432901,0.9882855415344238,0.0117145031690597,0.0410546138882637,0.9589453935623169,hate_speech,0.9589453935623169,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9996222257614136,not_afxumo,0.9882855415344238
x,595b74aa-b4ce-1652-f84b-6a75c086097c,galkacyoonline,1.0,2026-01-09,2026-01-09 12:08:23 UTC,1439.0,82aaf471-7555-dd5b-e597-02f32347a5f9,6.0,https://x.com/galkacyoonline/status/2009598121513267316,0.0,"#BreakingNews 

Galkayo’s strategic Mudug region location fuels recurring clan rivalries and militia actions, as seen in past conflicts.

Tribal militias have occupied the Galkayo municipality headquarters in Puntland for the 8th consecutive day, demanding what officials describe as extortion fee. 

The Mayor Hussein has publicly appealed to Puntland government and  Puntland’s elite anti-terror unit—for urgent intervention to resolve the standoff.
#Galkacyo",,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985822439193726,0.001061997259967,0.0003557828604243,Normal,0.9985822439193726,0.9993895292282104,0.0006104803760536,0.8628541827201843,0.1371458619832992,0.9989023208618164,0.0010976885678246617,not_hate_speech,0.9989023208618164,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9993895292282104,not_afxumo,0.8628541827201843
x,424b9133-a96e-4644-526b-890b53f4b5f4,DarkSpurs,1.0,2026-02-13,2026-02-13 15:49:00 UTC,1439.0,a00aa3b8-6974-b4f8-5bf4-6c43e34e7d4a,0.0,https://x.com/DarkSpurs/status/2022337218552148434,0.0,"1/6: The System Change Expect ashift to a 3-4-2-1 or 3-5-2. Tudor is a 3-ATB disciple. With Romero suspended 4 games, Tudor will lean on Dragu, VDV, and Pal (dropping from DM) to form a physical, aggressive backline. No more passive defending; it’s about winning the ball high.",,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8858935832977295,0.1070576682686805,0.0070487344637513,Normal,0.8858935832977295,0.9997544884681702,0.0002455375215504,0.9109246134757996,0.089075356721878,0.9960636496543884,0.003936336375772953,not_hate_speech,0.9960636496543884,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997544884681702,not_afxumo,0.9109246134757996
x,63f0eaf1-aa2d-a3de-f3cf-a7ba0ecf17d0,jeylaniabshir,0.0,2025-12-16,2025-12-16 20:44:39 UTC,1439.0,7d04cc02-c9e9-c8c9-d671-3f5dc829688f,0.0,https://x.com/jeylaniabshir/status/2001030736422285648,0.0,"Somaliya waxa ay maraysaa meel halis ah  Hogaanka Dalka hogaankiisa waxaa hagayo,oday aan Dal iyo Dad midna unaxayn  kaliya kafikiraaya Danihiisa iyo kooxo kala shaqaynaayo aragtidaas guracan https://t.co/WOpk5RJvxw",,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,very_high,medium,very_high,high,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999737560749054,0.0001676576357567,9.47705702856183e-05,Normal,0.999737560749054,0.999705970287323,0.0002940171398222,0.8721396327018738,0.1278603971004486,0.0010866853408515453,0.9989132881164551,hate_speech,0.9989132881164551,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.999705970287323,not_afxumo,0.8721396327018738
x,ffb0f0eb-4d33-23af-77fc-e24c5593b2c3,sailorm666n_,0.0,2026-02-05,2026-02-05 04:37:00 UTC,1439.0,92b9bbd4-e62c-0745-af12-e9ae41d0e374,0.0,https://x.com/sailorm666n_/status/2019268999654306122,1.0,fa inni qarib.,,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,low,low,low,low,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0104314731433987,0.9891440272331238,0.0004244540759827,Abusive,0.9891440272331238,0.9998338222503662,0.0001661382411839,0.9499745965003968,0.0500253960490226,0.9989498257637024,0.001050183200277388,not_hate_speech,0.9989498257637024,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9998338222503662,not_afxumo,0.9499745965003968
x,43ecf9ad-1c3d-5c5b-4fa2-76bd2a697397,roelsmajor,1.0,2026-02-12,2026-02-12 03:45:38 UTC,1439.0,dfc08c91-05ca-948e-58fb-0409c4c25144,0.0,https://x.com/roelsmajor/status/2021792788954984608,0.0,"Hasil belajar ilmu agama dari kebanyakan sumber seni, bidah, syirik, dan khurafat, dipastikan senewen. Tidak ada tafsir dalam menafsirkan Quran, ayat dipotong sesuai keinginan, jauh dari konteks, soal moral hukum jauh dari tafsiran ahli fiqh, jadi ambil campur sari hukum sekuler.",,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986801743507384,0.000892907672096,0.0004269220517016,Normal,0.9986801743507384,0.998835027217865,0.0011650010710582,0.8886005878448486,0.1113994270563125,0.9953595995903015,0.004640443250536919,not_hate_speech,0.9953595995903015,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.998835027217865,not_afxumo,0.8886005878448486
x,403c8377-3184-f0a8-5eb5-3906538c51c4,dunia_work,0.0,2026-02-12,2026-02-12 20:21:59 UTC,1439.0,028b28dc-6942-93d9-f221-977bf864b259,9.0,https://x.com/dunia_work/status/2022043527342174394,3.0,Dagaal ooge ha layska qabto https://t.co/wAueE8SLg1,,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997677206993104,0.0001267176121473,0.0001055374013958,Normal,0.9997677206993104,0.999744951725006,0.0002549988857936,0.9649964570999146,0.0350035578012466,0.9984793066978455,0.0015206779353320599,not_hate_speech,0.9984793066978455,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.999744951725006,not_afxumo,0.9649964570999146
x,569fb9c3-55ce-9985-9b7a-116b86df6e25,Jessesoosa,69.0,2025-11-17,2025-11-17 16:31:01 UTC,1439.0,8c0d1a7e-aa01-21d2-b98a-edf8bcf6308b,287.0,https://x.com/Jessesoosa/status/1990457657556430896,29.0,An Isaaq man slapped a Hawiye man in Mogadishu after being asked whether Somaliland is a country or a region. https://t.co/Otov1ZS2YP,,,,,,,,,,,,,,,Somalia,Escalation,,,2026-02-13 17:52:48.634306 UTC,2593,,,very_high,medium,high,high,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5831658244132996,0.3942526280879974,0.022581547498703,Normal,0.5831658244132996,0.9993645548820496,0.0006354706711135,0.0182635262608528,0.981736421585083,0.9991458654403687,0.000854068377520889,not_hate_speech,0.9991458654403687,,,,,,,very_high_prob_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9993645548820496,afxumo,0.981736421585083
