platform,post_author_id,post_author_name_pi,post_comment_count,post_date,post_datetime,post_gather_id,post_id,post_like_count,post_link_pi,post_share_count,post_text_pi,comment_author_id,comment_author_name_pi,comment_date,comment_datetime,comment_gather_id,comment_id,comment_like_count,comment_link_pi,comment_parent_post_id,comment_replied_to_id,comment_text_pi,tiktok_post_plays,x_comment_is_quote,x_comment_is_reply,country,gather_topic,content_topic,primary_topic,phoenix_processed_at,phoenix_job_run_id,prob_afxumo,prob_not_afxumo,prob_toxicity,prob_severe_toxicity,prob_insult,prob_identity_attack,prob_threat,prob_sexually_explicit,prob_flirtation,topic_COUNTER_VE_LABELS,topic_HS_ANTI_FOREIGN,topic_HS_CASTE_RACISM,topic_HS_CLAN_HIERARCHY,topic_HS_CLAN_TARGETING,topic_HS_DEHUMANISATION_TARGETING,topic_HS_DEHUMANISE_MEDIA_TRUST,topic_HS_FACTIONAL_ATTACKS_AND_BETRAYAL,topic_HS_GBOV_GENDERED,topic_PEACE_CALLS_FOR_PEACE,topic_PEACE_INDIGENOUS_MECHANISMS,topic_PEACE_MEDIA_LITERACY_COUNTER_RUMOUR,topic_PEACE_RECONCILIATION_FORGIVENESS,topic_PEACE_TRADITIONAL_MEDIATION,topic_PEACE_UNITY_HEALING,topic_PEACE_WOMEN_VICTIM_SURVIVOR_VOICES,topic_RM_ATROCITY_PLANNING_RUMOURS,topic_VE_ATROCITY_AERIAL_AND_ATTACKS,topic_VE_CODED_YOUTH_REFERENCES,topic_VE_MILITIA_MOBILISATION,topic_VE_OPERATIONAL_ESCALATION,topic_VE_RECRUITMENT_COERCION,topic_VE_RELIGIOUS_JUSTIFICATION,topic_VE_SELF_REFERENCE_TERMS,topic_VE_TAKFIR_DEHUMANISE,topic_counter_disinfo_correction,topic_delegitimisation_anti_state,topic_explicit_violence_or_attack,topic_gendered_hate_or_humiliation,topic_grievance_victimhood,topic_interfaith_peace,topic_misdisinfo_rumour_conspiracy,topic_peace_cohesion_counter,topic_reconciliation_forgiveness,topic_religious_justification_takfir,topic_retaliation_mobilisation,topic_sectarian_or_religious_incitement,topic_sexualised_harm_or_humiliation,topic_unity_cohesion,topic_ve_attack_tactics,topic_ve_crossborder_diaspora,topic_ve_group_branding,topic_ve_propaganda_recruitment,topic_ve_recruitment_or_hijrah,topic_HS_MTN_CODED_METAPHOR_REVIEW,topic_RM_FINANCING_REQUESTS,topic_VE_ARABIC_PEACE_OR_WAR_TERMS_REVIEW,topic_VE_FINANCING_COORDINATION,topic_direct_threats_intimidation,topic_doxxing_or_personal_data_cues,topic_ve_bayah_affiliation,topic_HS_MILITARISATION_STEREOTYPE_MATHIANG_ANYOR,topic_VE_SECURITY_DELEGITIMATION_SPY_CLAIMS,topic_PEACE_HASHTAG_CAMPAIGNS,topic_nonviolence_deescalation,topic_expulsion_or_ethnic_cleansing_cues,topic_PEACE_ORG_REFERENCES,topic_PEACE_SYMBOLIC_SLOGANS,topic_HS_ETHNIC_SCAPEGOATING_JIENGE_CLUSTER,topic_HS_NATIONAL_IDENTITY_ANTI_ARAB_FRAMING,topic_HS_REGIONALISM_KOKORA,topic_HS_RETURN_DIASPORA_STIGMA,topic_coded_slurs_ethnic,topic_hate_slurs_or_coded,topic_identity_incitement_dehumanisation,EA_HS_Normal,EA_HS_Abusive,EA_HS_Hate,EA_HS_pred,EA_HS_conf,Polarization_Kenya_not_polarization,Polarization_Kenya_polarization,Afxumo_Somali_not_afxumo,Afxumo_Somali_afxumo,HateSpeech_Sudan_not_hate_speech,HateSpeech_Sudan_hate_speech,HateSpeech_Sudan_pred,HateSpeech_Sudan_conf,post_author_category,post_author_class,post_author_description_pi,post_author_followers_count,post_author_location,post_author_link_pi,post_class,comment_author_class,comment_class,facebook_video_views,x_post_retweeted_id,post_id_parent,post_text_pi_parent,post_author_id_parent,post_author_name_pi_parent,post_date_parent,post_datetime_parent,post_gather_id_parent,post_like_count_parent,post_share_count_parent,post_comment_count_parent,post_link_pi_parent,post_author_category_parent,post_author_class_parent,post_class_parent,platform_post,Polarization_Kenya_pred,Polarization_Kenya_conf,Afxumo_Somali_pred,Afxumo_Somali_conf
facebook,13b84e2d-4d26-c325-0659-1311ff7747f8,Fariiha Bariise,0.0,2025-11-21,2025-11-21 07:10:27 UTC,1522.0,e8f996af-0a50-17b7-f2ce-ce52eebad419,3.0,https://www.facebook.com/farhiya.abdalabariise/posts/pfbid0rotnr2qZGVqmLTsM2f8UZP6QwrBNuAtPWbNRLgNqfTnJXr5QTvasd2bpfFzbsHNVl,0.0,"‏﴿ وَلَن تَجِدَ مِن دُونِهِ مُلْتَحَدًا ﴾.
‏المُلتحد: الملجأ
‏- الكهف (٢٧)🤎
Ma heli doontid meel aan isaga ahayn oo aad ku magan gasho.
Magangalyo: meel aad ku laabato-waa alle xagiisa ✔️جمعه مباركه للجميع ❤️",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99976247549057,0.0001596376096131,7.799929153406993e-05,Normal,0.99976247549057,0.9998030066490172,0.0001969589648069,0.6204964518547058,0.3795035183429718,0.0024640543852001,0.9975359439849854,hate_speech,0.9975359439849854,,,,,,,high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9998030066490172,not_afxumo,0.6204964518547058
facebook,3d53209a-5d58-dcac-e31c-b431f518dba8,Horn Agenda,0.0,2025-11-21,2025-11-21 10:49:56 UTC,1522.0,0c12c649-2320-9b0b-e5fd-c798e03bc07b,2.0,https://www.facebook.com/Horn.agenda/posts/pfbid027Nk4DsU58eshfxekiJDGNRESz4ojNKdmNrkimSBRrjY4tE6qouANch8d1QTnFqNbl,1.0,"Sweden Charges Syrian-Swedish Man for Attempting to Join ISIS Branch in Somalia

Swedish prosecutors have charged a 23-year-old Swedish-Syrian man with terror offences, accusing him of twice attempting to travel to Somalia in 2023–24 to join Daacish/ISIS
He was intercepted first by Ethiopian authorities near the Somalia border and later by Somali authorities.
He is also accused of financing IS using cryptocurrency and receiving bomb-making instructions.
The trial begins on 3 December at Attunda Court.

#Somalia #Sweden #Security #CounterTerrorism #Daacish #IS #HornOfAfrica #NordicNews",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99853253364563,0.0007903246441856,0.0006771687185391,Normal,0.99853253364563,0.9996285438537598,0.0003713935439009,0.887554407119751,0.11244552582502365,0.9991359114646912,0.0008641317253932,not_hate_speech,0.9991359114646912,,,,,,,high_prob_flirtation,,,,,,,,,,,,,,,,,,,,not_polarization,0.9996285438537598,not_afxumo,0.887554407119751
facebook,fc01a202-876e-bd08-1e60-fe87382d2fa7,Ma'ayso Media,0.0,2025-11-21,2025-11-21 15:06:50 UTC,1522.0,e7b68a06-836d-3d55-311c-ff12f65c2d43,5.0,https://www.facebook.com/MeaysoMedia/posts/pfbid02dFMvRCLXiX72oVC5mW9wPZsHZGdtfdzeRndta4hPJxT3uptHc4kbWmFy7nvUx83ul,0.0,"Wooow Soomaaliya gooool.

Soomaaliya 3
Itoobiya 3

Soomaaliya ayaa soo laabasho cajiiba sameysay, wariyaha Itoobiyaanka ee ciyaarta daadihinaya ayaa daqiiqadi 85-aad wuxuu yidhi ""Soomaaliya waxaa u fudud iney daqiiqadaha u dambeeya goolal la yimaadaan"" intaasi kadib Soomaaliya laba gool ayay kasoo laabatey.

Ciyaartii waxay ku dhamaatay barbar dhac Soomaaliya 3 Itoobiya 3.",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996716976165771,0.0001790671230992,0.0001491439325036,Normal,0.9996716976165771,0.9997197985649108,0.0002802200906444,0.8582336902618408,0.1417662501335144,0.0011382396332919,0.9988617897033693,hate_speech,0.9988617897033693,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997197985649108,not_afxumo,0.8582336902618408
facebook,25b0cb5b-efe5-2094-335e-a4e9f2091b97,Kheyr & Qasaaro,36.0,2025-11-21,2025-11-21 21:13:19 UTC,1522.0,b045819b-86b4-766a-d59e-4ff402757713,525.0,https://www.facebook.com/reel/1239949328191519/,28.0,"Hodan Onlie Oo Ah Gabar Ganacsato Ah Ayaa La Keenay Maxkamada Waxaa Loo Haaystay Lacag Dhar Looga Dalbaday Dharki Masoo Dirin. Balse Arinta Layaabka Ah Nin Ayaa U Doodaya Xaaskiisa Oo Ah Qofka Lacagta Ee Ka Maqan Tahay.

Dahir Diini Ayaa Isku Dayat Jnuu Caayo Ninka Waxaa La Dagay Guriceel Wuu U Aqoonsaday Caayda.",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994712471961976,0.0003484887129161,0.000180302769877,Normal,0.9994712471961976,0.9997352957725524,0.0002647051005624,0.8127390146255493,0.18726091086864471,0.0010792525717988,0.9989207983016968,hate_speech,0.9989207983016968,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997352957725524,not_afxumo,0.8127390146255493
facebook,b46a55d4-d4b8-aec0-3688-5725c678ff59,𝑆𝑂𝑀𝐴𝐿𝐼 𝐴𝑅𝑇,11.0,2025-11-22,2025-11-22 04:53:57 UTC,1522.0,8a1f0f4d-e07a-1abb-21e3-7b34653fe411,235.0,https://www.facebook.com/reel/809299565434466/,13.0,𝘿𝘼𝘼𝙃𝙄𝙍 𝘼𝙇𝘼𝙎𝙊𝙒 𝙃𝙤𝙙𝙖𝙣 𝙊𝙣𝙡𝙞𝙚 𝙊𝙤 𝘼𝙝 𝙂𝙖𝙗𝙖𝙧 𝙂𝙖𝙣𝙖𝙘𝙨𝙖𝙩𝙤 𝘼𝙝 𝘼𝙮𝙖𝙖 𝙇𝙖 𝙆𝙚𝙚𝙣𝙖𝙮 𝙈𝙖𝙭𝙠𝙖𝙢𝙖𝙙𝙖 𝙒𝙖𝙭𝙖𝙖 𝙇𝙤𝙤 𝙃𝙖𝙖𝙮𝙨𝙩𝙖𝙮 𝙇𝙖𝙘𝙖𝙜 𝘿𝙝𝙖𝙧 𝙇𝙤𝙤𝙜𝙖 𝘿𝙖𝙡𝙗𝙖𝙙𝙖𝙮 𝘿𝙝𝙖𝙧𝙠𝙞 𝙈𝙖𝙨𝙤𝙤 𝘿𝙞𝙧𝙞𝙣. 𝘽𝙖𝙡𝙨𝙚 𝘼𝙧𝙞𝙣𝙩𝙖 𝙇𝙖𝙮𝙖𝙖𝙗𝙠𝙖 𝘼𝙝 𝙉𝙞𝙣 𝘼𝙮𝙖𝙖 𝙐 𝘿𝙤𝙤𝙙𝙖𝙮𝙖 𝙓𝙖𝙖𝙨𝙠𝙞𝙞𝙨𝙖 𝙊𝙤 𝘼𝙝 𝙌𝙤𝙛𝙠𝙖 𝙇𝙖𝙘𝙖𝙜𝙩𝙖 𝙀𝙚 𝙆𝙖 𝙈𝙖𝙦𝙖𝙣 𝙏𝙖𝙝𝙖𝙮.,,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.985483705997467,0.0131364176049828,0.0013798662694171,Normal,0.985483705997467,0.999860405921936,0.0001395969447912,0.9137022495269775,0.08629772067070007,0.998965859413147,0.0010341815650463,not_hate_speech,0.998965859413147,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.999860405921936,not_afxumo,0.9137022495269775
x,50a159c4-2be6-0b14-780d-b82b27e194b7,hiiraan,0.0,2025-11-22,2025-11-22 06:50:11 UTC,1535.0,c6997004-7555-ffae-45cc-6b6fa3ffcaa1,0.0,https://x.com/hiiraan/status/1992123425880686876,0.0,"Xulka Soomaaliya ee U17 oo soo laabasho cajiib ah ka sameyay kulan Ciyaareed ka tirsan Tartanka Bariga iyo bartama Africa: Sabti, November 22, 2025 (HOL) - Xulka Qaranka Soomaaliya ee da’doodu ka hooseyso 17 sano (U17) ayaa bandhig ciyaareed yaab leh ka… https://t.co/eZC8NhUfcA",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997478127479552,0.0001722585730021,7.9980498412624e-05,Normal,0.9997478127479552,0.9997665286064148,0.0002334256569156,0.9742724895477295,0.025727538391947746,0.0025869358796626,0.9974130988121032,hate_speech,0.9974130988121032,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997665286064148,not_afxumo,0.9742724895477295
x,e96af948-5ace-e862-9349-e81ce55ee14a,abdirah52156059,0.0,2025-11-22,2025-11-22 13:44:41 UTC,1535.0,e397a502-a80c-a941-49a6-422e8bc2b858,1.0,https://x.com/abdirah52156059/status/1992227737222955397,1.0,Gudoomie Mohamed Kaahin iyo Gudoomiye Abdilahi Darawal Rag Dalka Usoo Halgamay Oo Shalay Dib U Midoobay https://t.co/jnruQ2SeQ2,,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997767806053162,0.0001292477682,9.400294220540673e-05,Normal,0.9997767806053162,0.9997246861457824,0.000275254191365,0.9898141026496887,0.010185894556343555,0.0013262060238048,0.9986737966537476,hate_speech,0.9986737966537476,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997246861457824,not_afxumo,0.9898141026496887
x,671667df-c16b-f094-ac86-fb4fffd5a82e,MayaaInsights,0.0,2025-11-22,2025-11-22 16:59:18 UTC,1535.0,ae5ce6ae-e6c9-564d-c424-1443d3f8bbe5,0.0,https://x.com/MayaaInsights/status/1992276715847209456,0.0,"Doonta xeebta Griiga ayaa saddex jeer garaacday doon muhaajiriin ah meel u dhow jasiiradda Samos, si loo joojiyo gelitaanka sharci-darrada ah. Doontu waxaa lagu khasbay inay ku noqoto Turkiga. 🇬🇷🇹🇷 
#Griiga #CrisisMuhaajiriinta #AmnigaXuduudaha

https://t.co/PHCGWFlkxo",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997119307518004,0.0001821830519475,0.0001058149064192,Normal,0.9997119307518004,0.9998003840446472,0.0001996472710743,0.9596498012542725,0.040350183844566345,0.0011933345813304,0.9988067150115968,hate_speech,0.9988067150115968,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9998003840446472,not_afxumo,0.9596498012542725
x,392205dc-1556-4c83-891d-dfb0afe1dc23,IBSBankSo,0.0,2025-11-23,2025-11-23 07:05:00 UTC,1535.0,deeafb3e-9759-3d0e-3179-1d3545ea9d3f,2.0,https://x.com/IBSBankSo/status/1992489541987647726,0.0,"Ma ogtahay in qiimo jaban aad lacag ugu soo diri kartid dalka hooyo adigoo isticmaalaya Xawaaladda caalamiga ah ee Rio Money Transfer?
Ku dooro
✅Sahlanaan
✅Degdegsiimo
✅Amaano
#RioMoneyTransfer
#Receive
#IBSBank https://t.co/Rj7h06gFEk",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997625946998596,0.0001403952628606,9.701069939183073e-05,Normal,0.9997625946998596,0.9998146891593932,0.0001853603753261,0.9847752451896667,0.015224717557430267,0.0012400303967297,0.9987599849700928,hate_speech,0.9987599849700928,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9998146891593932,not_afxumo,0.9847752451896667
x,34c5ea3a-649e-f28d-4d2d-f7ba133a0b0b,awkulmiyow,0.0,2025-11-23,2025-11-23 07:21:50 UTC,1535.0,dc690031-87f1-36e2-870a-0f185910662a,3.0,https://x.com/awkulmiyow/status/1992493778394083571,2.0,"It's as simple as that!
DALXUREEYE VS DALDUNSHE!

Yaan lagugu khaldin!
waddaniyad aan afka baarkiisa dhaafsaneyn oo maalmahaan lagu sarcaadinayo maangaabta!

Heesihii &amp; sawiradii kacaankii 1969kii oo soo batey!
WAXAY KUSHEEGI LA'YIHIIN MAJNUUN M/W HORE AHAA OO FASHILMEY!
#Somalia https://t.co/AUZPKMLEGL",,,,,,,,,,,,,,,South Sudan,Diaspora,,,2026-03-04 14:12:32.686385 UTC,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9942123293876648,0.0003190892457496,0.005468641873449,Normal,0.9942123293876648,0.9997981190681458,0.0002019277744693,0.8672459125518799,0.1327541172504425,0.0013618796365335,0.9986380934715272,hate_speech,0.9986380934715272,,,,,,,very_high_prob_not_afxumo,,,,,,,,,,,,,,,,,,,,not_polarization,0.9997981190681458,not_afxumo,0.8672459125518799
