handle,platform,country,first_seen,last_seen,flags
@Ayyyann99,x,Somalia,2026-03-18,2026-03-18,3
@GOVERNORKAHUHO1,x,Kenya,2026-03-19,2026-03-19,6
@JamiiForums_KE,x,Kenya,2026-03-19,2026-03-19,3
@Marc_Macuda,x,Kenya,2026-03-19,2026-03-19,3
@MeteoKenya,x,Kenya,2026-03-19,2026-03-19,3
@RunEmDownDizz,x,Somalia,2026-03-19,2026-03-19,2
@SecurexEA,x,Kenya,2026-03-19,2026-03-19,2
@Somalimois1,x,South Sudan,2026-03-19,2026-03-19,4
@SouthSudan24_,x,South Sudan,2026-03-19,2026-03-19,2
@TheDream101_,x,Somalia,2026-03-18,2026-03-18,21
@TheStarKenya,x,Kenya,2026-03-19,2026-03-19,3
@ViralTeaKe,x,Kenya,2026-03-19,2026-03-19,3
@cbs_ke,x,Kenya,2026-03-19,2026-03-19,3
@itsCrunchupdate,x,South Sudan,2026-03-19,2026-03-19,2
@kennethbarasa6,x,Kenya,2026-03-18,2026-03-18,2
@moses_kaigi,x,Kenya,2026-03-19,2026-03-19,3
@sndwky,x,South Sudan,2026-03-19,2026-03-19,2
@yussufholcaye,tiktok,Somalia,2026-03-19,2026-03-19,2
